bed_type,bathrooms,description,latitude,price,bedrooms,room_type,longitude
Real Bed,1,"The Consulate’s location is perfect. The apartment is in the heart of a fabulous Van Ness neighborhood at the entrance of Rock Creek with convenient shopping and dining options, and just steps from the Metro. The apartment has cable, free wifi, kitchen ware for cooking, great sleeping accommodations, a blow up mattress if needed with added linens and towels, the complex has a tennis court, a fitness center, a business center with free internet and printing, an awesome pool, a sun deck with a BBQ pit and the apartment is literally a block from the Van Ness metro, on the redline, four short stops to the white house, close to all the sites of Washington, DC, this is apartment is a true gem.",38.94198923122559,82,1,Entire home/flat,-77.06092078924796
Real Bed,1,"The Heart of Dupont Circle!We are located on the Georgetown side of Dupont Circle. The apartment is the 4th and top floor of a row house, corner unit. It is two blocks off the metro (Red Line - Dupont Circle stop), walking distance to the White House, Georgetown, the National Mall, area grocery stores, farmers markets, restaurants, vibrant bars and nightlife. Street parking and pay parking garages are available if you plan to bring a car, although our location is perfect for public transportation, bike share and walking. It is extremely safe and one of the best locations you can find in DC!Apartment DetailsThe apartment is fully furnished, just bring your suit case! It is a charming 975 sq ft 2 bedroom/1 bath apartment with plenty of closet space, skylight, an in-unit washer, dryer and dishwasher. We know it can be nice to grab a quick breakfast and run, so please help yourself to our assortment of breakfast foods. Your Temporary RoommatesWe are in our late 20s, incredibly laid back, kind, respectful and easy to room with. We are both very active, work long hours and are not in the apartment much. When we are, we like to relax, cook healthy meals and meet friends out for drinks. We can show you some cool spots around DC, but are equally happy to give you as much privacy as you desire. Looking forward to meeting you!",38.91204547661321,52,1,Private room,-77.04548290584523
Real Bed,1,"Hello! This is a new sweet DC themed studio apartment in the heart of the city in the wonderfully fun Dupont Circle neighborhood. This is a great apartment on a quiet street and you can walk to the White House and lots of fun restaurants from the apartment. THE APARTMENT: A quiet studio in an apartment building in Dupont Circle. The building has an elevator. The main room is 350 sq. feet but there is an additional closet, kitchen area, and bathroom. NEIGHBORHOOD: If you don't know much about DC, let me tell you that Dupont Circle is the best neighborhood in town. The rent here has reached the same levels as in Manhattan in NYC and when an apartment is open in the area, it gets snatched up in a second. Tree lined streets, amazing restaurants, hip bars and a big grocery store are within one block of the apartment and I hope you can experience it by staying here! The neighborhood is extremely safe, the shops are cute, the people are nice, the bars are fun and you can walk to the White House and all of downtown. It's pretty much everything you could ask for in this town. This may not be the biggest apartment on Airbnb in DC but it just may be the one in the best location. NOTE: This is a BRAND NEW apartment unit that I just got. I'll be adding more furniture and some art on the walls probably in time for your reservation but I wanted to get some photos up so you get an idea of what it looks like! A QUEEN SIZE BED is in the room and you will be provided with fresh sheets, towels, shampoo, conditioner and soap.The bathroom has a full tub. And of course you could just use it for a shower. A hairdryer is provided.There is free WIFI. In addition there is obviously an air conditioner unit/fan and lots of heat. There is no TV. There is a large refrigerator. Feel free to stock up and store any food or anything you need in the kitchen. The stove/oven in the apartment are ready for you to use. There is a microwave! There is a toaster! There is a coffee machine! There are six wine glasses and six regular glasses! There are also six regular size plates and six little plates all for you. And three fun mugs. And martini glasses! And shot glasses! Yay!There are washing machines and dryers in the basement of my building. You can feel free to go down there and wash all your clothes. You have to buy a card for five dollars before you can wash anything. It is two dollars for a wash and two dollars to dry.I have a book of helpful information for your stay. It includes maps, information on local restaurants, helpful tips on the apartment, etc. I also have the most recent Lonely Planet DC city guide for you so don't buy a guidebook if you stay here!THE LOCATION: Dupont Circle Area. The apartment is a five to ten minute walk from the Dupont Circle Metro Stop on the Red Line. You could also walk from the Green/Yellow Line's U-Street/African-American Civil War Memorial Stop but it would take about 20-25 minutes. The apartment building is located one building off of trendy 17th Street which is filled with restaurants, bars, nail salons, yogurt places, etc. A large grocery store is around the corner. Also there are two liquor stores and a 7-11 within feet of the apartment. From the apartment you could walk to the White House (about 20 minutes) or to the U-Street area (about 8 minutes) or Dupont Circle (about 5 minutes) or over to 14th Street (about 10 minutes). I repeat, within one block there is a 7-11 Convenience store, a supermarket, two liquor stores, a dry cleaner, numerous food options, a bar, etc. All sorts of fun!ACCESS: You can take the Metro's Red Line to Dupont Circle. From there it is a 5-10 minute walk. There are also numerous bus options available. Washington DC is a very walkable city and you can walk to the White House and other attractions easily from here. Perhaps more importantly, the area is overflowing with great restaurants!ROOMMATES: You will have the apartment to yourself. There are no roommates. I will just make sure to you have two sets of keys to the apartment. I have no dogs, cats, or pets of any kind. Please do not bring animals into the building. There is no smoking in the building.ROOM: The room will sleep two comfortably in the amazing queen bed. You could also put an additional third person on the futon. Woohoo! I will provide clean sheets and towels.EXTRAS: Hair Dryer, Wifi, Coffee Pot, Toaster, Microwave, Shampoo, Conditioner, Soap, Clean Towels, Iron, Ironing Board, Playing Cards, Lonely Planet Washington DC - all sorts of fun.BED: QUEEN (!!!) bed. Yay! FUTON: The futon is the blue couch pictured. You just press it back and it turns into a bed. Full Disclosure - This futon is from Target (like Ikea) and it is a reliable futon but not the world's most comfortable. I wouldn't tell my mother to sleep here but I think most of my 20 something friends would not mind sleeping on the futon. IRON: There is an iron and an ironing board in the apartment. Please feel free to use it. PARKING: DC is not a car friendly city. The apartment is a 5-10 minute walk to the Dupont Circle Metro stop. The apartment is also on many major bus routes. If you really want to bring your car, you can park it on the street for free on weekends and holidays but PLEASE pay attention to the street signs. Parking tickets in DC usually run around $100. If I had a car here, I would not risk worrying about street parking and I would park in one of the nearby garages. There is a parking garage at 17th and P Street where you can park your car for $16 a day. The garage is a five minute walk from my apartment. Many guests have kept their car there while staying at my place. CHECK IN/CHECK OUT: I have a flexible checkin/checkout time listed. It makes sense to me to be as flexible as possible to allow guests the best stay! That said, please let me know 7 days - one week - before your arrival when you plan to arrive and when you plan to check out. If you do not let me know your arrival and departure plans, your check in time will be 2pm and your check out time will be noon. Also - PLEASE - do not assume you can check in before noon. If you want to check in earlier than 2pm, please check with me in advance. Everything will probably work out, just let me know. I look forward to your stay :-)Remember! This is a brand new apartment and more fun (furniture, art) will be added soon.",38.90991875842942,75,1,Entire home/flat,-77.0398520905465
Airbed,1,"This unit is the perfect unit for traveling to DC, even with large parties. The unit is located within the heart of H Street Corridor, this unit is just a 7 seven block walk from Union Station. The accommodations include 3 queen sized elevated air mattresses, wifi, cable (HBO, Showtime). There is also a bikeshare locaton, located within a two minute walk. If you require more sleeping space, contact me ahead of time and we can arrange. The unit is 1 block from a grocery store and a short walk to the restaurants, bars and nightlife of Atlas District i.e Rock and Roll Hotel, Sticky Rice. It is very ideally located and is only a short distance from the convention center, downtown and Capital Hill. It is very easy to get to via train, bus or ridesharing service like Lyft or Uber. Book here for your next visit too DC.",38.90143164393329,82,3,Entire home/flat,-76.99895470585253
Real Bed,1,"An English basement like no other...this one has a to-die-for kitchen and a cavernous walk-in closet that others would consider a separate bedroom. The apartment's one bedroom has a queen-sized bed plus a home office nook with a large antique oak desk and chair. The living room has a full-sized Jennifer convertible sofa bed that sleeps two extra people, and for parties of more than 4 people (or for parties of 3 or 4 at the party's request for more beds, for an additional fee), one or two twin (single) or queen-sized airbeds are provided.Includes bed linens, bath towels, and a fully-equipped kitchen, down to the coffee pot, crock pot and George Foreman grill (plus gas and charcoal grills and an electric smoker are available for your use outside.) WIFI is strong and the flatscreen TV provides cable and DVD viewing. Cleaning supplies and hand soap are provided, but please bring whatever toiletries you want to use in the shower or bathtub.Our laundry room with Whirlpool Duet washer and dryer is shared with those of us living in our home above the apartment, and we must access it through the short center hallway of the apartment. So that the apartment occupants are not disturbed too early in the morning or late in the evening, we limit laundry room hours for the occupants of the main house (normally 10:00 a.m. to 10:00 p.m., but we can shift those hours if need be.)Premium location: 10 minute walk to restaurants, grocery stores, drug stores, etc. in Glover Park and Cleveland Park; 1 mile walk to Georgetown University and American University; 10-minute bus to Dupont Circle; 20-minute bus to Foggy Bottom; walk, drive, or take a bus past the Vice President's residence and along Embassy Row on Massachusetts Avenue. The apartment is just three blocks to Washington National Cathedral, and three miles to the White House and National Mall. .Notice for those with severe allergies to pets: On rare occasions, we have guests who bring their pets along on their travels. While we do work hard to clean the apartment in between guests, those who are extremely allergic to cats or dogs may want to contact us before booking to discuss whether a pet has been in the apartment recently. We do have two cats in our home above the apartment, and the air conditioning ductwork is connected between the apartment and the main floor of our home.Options available for an additional fee:1. Parking. Parking on the street is relatively easy, but for those without resident parking permits (which we buy when we register our cars in DC every year), weekday parking is limited to two hours. We can obtain a permit for your car for $15/day. Without the permit, you are at a very high risk of receiving a parking ticket after two hours on weekdays; Washington's parking enforcement officers are very efficient!2. Grocery shopping. Let us know what you would like to buy, and we will have it waiting for you upon your arrival for the cost of the groceries plus a shopping/delivery fee of $25.3. Pet care/dog walking. $20 for a 30-minute session, $30 for a 60-minute session.",38.927334,137,1,Entire home/flat,-77.075684
Real Bed,1,"Hello,I believe in people helping each other to avoid expensive hotels and enjoy a casual vacation, and I often use AirBnB myself when I travel. That's why it's important for me to make your stay in my place comfortable and pleasant and not much different from being home. You can count on respectful and considerate attitude and I will expect the same in return. I have a few simple house rules to be observed (please check those separately) and in return, I am very flexible with the arrangements and accommodation. For my guests to offer, I also have two metro Smart Trip cards (rechargeable chip-cards that also give you a slight discount on the metro fare), a visitors parking pass for free daily street parking in front of my building (in case you drive), and the possibility of bike rentals through me (to be discussed on a case by case basis). Also, when you rent just a room, don’t be concerned about sharing with strangers. I don’t operate as a hostel – this is my home, I live her, and I only rent my guest bedroom (one at a time), while I live in the other. So you do get to share with me as the host, but that’s it – no in and out traffic, no strangers. Washington D.C. has two faces – Washington the Nation’s Capitol, and D.C. as the city itself. The Nation’s Capitol has the well known historic and government landmarks and museums (Capitol Building, Library of Congress, the White House, the Supreme Court, the Smithsonian Museums, the National Cathedral, the national monuments, etc.). When you book with me, I would help you get beyond the Nation’s Capitol and discover the other face of D.C. – the city and its vibrant neighborhoods, cultural and nightlife, thriving restaurant scene, farmers markets, and a good number of creative places that offer an eclectic selection of crafty coffee making, microbrews (and microbrew imports), and rare spirits from small badge bourbon and scotch distilleries. Also to clarify, guests are often confused by the name “AirBnB” and inquire with me about breakfast provided, rides to/from the airport, and sightseeing tours around the city. AirBnB is al bed and breakfast only in name and only virtually. The only thing I offer is affordable accommodation, good hosting and some good suggestions to make your experience in DC real good. Well, I also do offer to my guests all the tea and coffee in the house, and often when I am prepared, I will treat them to wine and beer. The rest is up to you and I could only help with ideas.THE APARTMENTMy place to share is a modern two bedroom condo on the second floor in a small 4 unit building. I have a separate listing for the whole apartment, but I also rent the rooms separately to low-key travelers on a budget. The guest bedroom listed here is the smaller of the two and has a queen size futon. The apartment has one bathroom (that we share), a fully equipped modern kitchen, and a large wooden deck with patio furniture and a propane grill. The apartment is clean, tidy, well-maintained, and non-smoking home. A couple of other features include:- Wireless Internet- TV and cable- PS3 with a Netflix account and a DVD/Blu-Ray player (and FIFA 2013 if you care hahaha)- A laptop-to-TV video and sound connectors- A stereo with 2 ceiling and 2 stand-alone speakers- Washer and dryer in unit- Dishwasher- Central air- Jet tub- A decent size fenced in grassy yard on the side of the building (bike can be locked on the iron fence)- A guest street parking pass and plenty of street parking available, including two unzoned streets a block awayNEIGHBORHOOD AND LOCATION The neighborhood is small, residential, quiet and safe. Eckington is conveniently located in the heart of the city geographically. It's only 1.4 miles to Union Station, Capitol Hill, the National Mall, and all the Smithsonian museums, which is all easily within walking distance (or 1 metro stop – Union Station). The condo is also a 10 minute walk to DC's most useful red metro line (the stop is NoMa) and the walk is on a pedestrian/bike trail with no car traffic and a straight shot to the metro stop. In terms of transportation, besides being on the metro, the neighborhood is also a major city cycling area with the Metropolitan Branch Trail (connecting Union Station with Silver Spring and MD) running straight through it, together with several streets with bike lanes that connect directly to downtown, Dupont Circle and Georgetown. The city bike (Capital Bikeshare) sharing program also has several renting stations in the neighborhood, where you can check out bikes by the minute or by the hour.Although quiet and residential, Eckington is surrounded by two of the newest and most hip DC neighborhoods - NoMA and Bloomingdale. Both are within a 10 minute walk and offer a constantly growing number of coffee shops, restaurant and dining options, fast bites, bars, grocery stores, and various activities: BREAKFAST, BRUNCH, LUNCH, AND DINING• Big Bear café – probably the coolest joint around here, wind very crafty coffee, patio garden, and ever changing eclectic dinner menu on candle light (10-15 mins walk). • Windows café – easy neighborhood, deli type café (10-15 mins walk).• Grassroots Gourmet – a family bakery that uses fine ingredients to bake from scratch.• Rustic Tavern – great brick oven pizza and creative ingredients (10-15 mins walk).• Aroi Fine Thai and Japanese cuisine – traditional Thai and sushi (10-15 mins walk).• Bacio Pizzeria – great take out joint with excellent gourmet pizza (10-15 mins walk).• Beau Thai – modern Thai joint (15-20 mins walk).• Todd Gray's Watershed – an upscale, celebrity-chef restaurant (10-15 mins walk)• Fast bite options around the NoMA metro stop (15 mins walk):- 5 Guys burgers- Roti Mediterranean Grill- Au Bon Pain- Potbelly- Starbucks• *A Litteri – an authentic Italian grocer and deli with a mindblowing selection of wine, meats, olive oil, cheese, and anything Italian. They make great sandwiches too. This one is a true gem (15-20 min walk).• *Union Market – an old historic marketplace that has been recently renovated and is now one of the hippest gems in town and a serious rival to Eastern Market. It has and artisan feel and offers an original mix of meats, cheese, produce, seafood, bakery, smokery, creamery, Korean BBQ tacos, empanadas, olive oil, gelato, coffee, cupcakes, fine wine and beers, flowers (15-20 mins walk).• *Thai X-ing – probably the best and most famous Thai restaurant in the city, which is actually in the chef’s house and serves traditional home-style Thai recipes passed down from his family in an intimate home setting. Keep in mind that although it is not pretentious, reservations are a good idea, just because of the high traffic (25-30 mins walk). BARSBoundary Stone Public House – a very aesthetic neighborhood bar (but also popular all across the city) that offers crafted beers, an amazing bourbon list, and good food (10-15 mins walk).PHARMACY AND GROCERIES • McKinley Market – a small grocer/convenience store just around the corner (less than 5 min walk).• New Star Supermarket – a decent size neighborhood supermarket where you can find pretty much everything you need for cheap. It just hasn’t caught up with the organic/fancy food revolution yet – I am still a fan (10 mins walk).• Harris Teeter – the nicest grocery store around in terms of food quality and organic choices. It also has a rich food bar and bakery with numerous of breakfast, lunch and dinner choices (15 mins walk, it’s by the NoMa metro).• Giant – a typical big American chain supermarket that offers everything and anything, generally cheaper than Harris Teeter. It also has a rich food bar and bakery with numerous of breakfast, lunch and dinner choices (15 mins walk, it’s by the Rhode Island Ave metro).• Sunday farmers market by Big Bear Café.• CVS – two pharmacies, one by the NoMA metro and one by the Rhode Island Ave Metro (both 10-15 mins walk).SPORTS AND ACTIVITIESThere are multiple public sport facilities in the area, including indoor and outdoor swimming pool, tennis courts, track, basketball courts, football and soccer fields, bike trails and city bike lanes, and the city’s only bike polo ground where pick-up games take place on Monday and Thursday night.• Harry Thomas Recreation Center – outdoor pool in the summer, gym, baseball field, tennis courts, basketball courts (10 mins walk).• McKinley Tech High School – football/soccer field and track (5 mins walk).• Trinity College - indoor Olympic pool (25 min walk)• Project Fitness Chickaro – gym and personal training (10 mins walk).• Brentwood Park – bike polo (20 min walk)ENTERTAINMENTIn terms of entertainment, the H Street Corridor/Atlas District and the U street area are both well known for their night life. Both are also 1.5 miles away, or a 30-40 minute walk. To all my reservations, I will email specific suggestions on DC gems and must-go places for live music, shows, night life, dining, pizza, crafty beer, coffee etc. that go beyond the neighborhood and explore the best of the city.",38.91491517377868,33,1,Private room,-77.00254197667674
Real Bed,1,"If you're coming to the DC area and need a great place to stay, you've found the right place. The Condo sits in NW Washington, DC. The condo is only 3 years old. As a DC Native, I know the area very well and would love to answer any questions you might have during your trip. A Metro Bus (Route 62,63) stop is right outside the door and Fort Totten Metro station (Red, Green, Yellow Line) is less than a 1.7 mile bus/car/cab ride. The 63 Bus will take you directly to National Archives, which is a short walk to Smithsonian Museum and the U.S. Capitol. Fort Totten Metro station allows you to choose between 3 different routes to get downtown. It also allows you to get to Silver Spring, Maryland in train stops.The Neighborhood is friendly and allows guests to get to downtown DC in a 10-15 minute drive. Guests can also easily bike downtown if desired. THE CONDO INCLUDES:• Secured remote entry • Wi-Fi• Actual bed• Cable/Netflix and HBO streamed to 46’ LCD TV• Off-street Parking• Granite counters• Hardwood floors• Central A/C• Washer/Dryer in-unit• Whirlpool bathtub• In-wall iPod dock • Surround sound• Stainless steel appliancesNeed a ride from the airport, let me know.",38.95747999642234,64,1,Entire home/flat,-77.01898894795359
Pull-out Sofa,1,"Can't wait to welcome you to our English garden apartment! Please send us a message before you book so we can confirm the availability of the apartment for your stay.LOCATION *************Our apartment is located just 3 blocks from the U-Street metro and is surrounded by the trendiest shops, restaurants, bars, lounges, and art galleries. APARTMENT****************This apartment is a quiet getaway in a bustling part of DC. Our home is lovingly decorated and is filled with lots of light. Calming touches like an indoor water fountain and spa-like features in the bathroom make this place feel like a special home away from home. It's a great place to cool down in the hot DC summer and enjoy the best of DC!SLEEPING ARRANGEMENT*********************************This listing is for your choice of:Queen-size sofa bed (sleeps 2) Large king-size airbed (sleeps 2)Extra long couch (sleeps 1) Your choice of bed is pulled out in the evening and set up in the living room. We''ll do all the setup - you enjoy a rest! Sleep is important so all our bedding is super comfortable, cozy, and fits tall guys even over 6ft tall!This is a one bedroom apartment. My wife and I stay here. If you want the master room, please contact us and we are happy to set that up for a small additional amount.AMENITIES*************Full kitchen facilities are available including a juicer and blender for all your cooking needs. Bathroom is shared and cleaned daily. Laundry is conveniently located across the hall. A complimentary gym is in the next room, which is open 24 hours.NEIGHBORHOOD*********************The area sits between three of DC's most desired neighborhoods - U-Street (1 min walk South), Columbia Heights (5 min walk North), and Adam's Morgan (10 min walk West). There are two metro stops just 2 - 5 mins walk away: the U-Street metro stop is 3 blocks down from us, the Columbia Heights Metro is 5 blocks up. You are just a few subway stops away from the White House, National Mall and the Capitol.There are lots of great restaurants to choose from in our neighborhood including Matchbox, Bus Boys and Poets, Ben's Chilli Bowl, Marvin's, The Gibson, Piola, Ghibellina, Regent Thai, El Tamarindo, Lauriol Plaza (DC's most popular and delicious tex mex), and ALL of the restaurants on the 17th Street strip near Dupont and the 18th Street strip in Adam's Morgan. If you prefer to shop for groceries, there is a Whole Foods, Yes Organic Market, CVS, as well as a grocery store within walking distance. This area is fabulous and fun -- you will never be bored. Please see my guidebook for more details!",38.92206423403449,52,1,Private room,-77.02965454665282
Real Bed,1,">Check 'My Other Listings' for more options and availability<..............................................................................................................SPECIAL RATE FROM $99*/night (to fill gaps on calendar during weekdays or last minute bookings)*original price at $145/night``````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````Great Studio in the heart of Dupont Circle. Just walking distance to the metro, fine dinning, nightlife, theatre and shopping. The apartment homes have much character starting with its beautiful and original hardwood floors.The apartment is fully furnished with basic kitchen appliances, king size bed with comfortable pillows, a full bathroom with shower/bath, rack with hangers and fresh linens and towels!**SELF CHECK IN**You can arrive between 12pm and 4pm to drop your bags only. Please plan to check-in after 4pm and be ready to check-out before 12pm. There is no need for handling the keys in person you'll get a password to access the apartment!!! **AMENITIES** - Location! - Walk to everything you will need during your stay. - Red Line Metro steps away- Basic kitchen appliances- Refridgerator- Microwave- Toaster- Bodum Press- High speed internet and WIFI- TV/cable- KING size bed- Full bath with tub - Iron and ironing board - Blow dryer - Central AC/Heat- Dish Washer- Wash/Dryer (in building)Ps.: Personal hygiene products you must bring your own such as shampoo, conditioning, body wash, sponges, wash cloth, lotions, etc.**PARKING**- For parking please see ""house rules""The price is low due to few reviews. Let's say it's an introductory rate and definitely a good opportunity for you to save money staying in the best location while helping me to build up references.No smoking, heavy partying or pets are permitted.In downtown DC, Dupont Circle couldn't be a better place to enjoy the city by day and night, just steps (0.3 mile/7min) from the north entrance of the Dupont Circle Metro Station on red line. Access and transportation is privileged with several Zipcars parking lots, Capital Bikeshare just across the street, Buses and highway access on Connecticut Ave. The apartment building is located one building off of trendy 17th Street which is filled with restaurants, bars, Convenience Store, supermarket, two liquor stores, dry cleaner, yogurt places, nail salon. From the apartment you could walk to the White House (1.2mi/30min), to the U-Street area (0.4mi/8min), Adams Morgan (0.6mi/14min) or 14th Street (0.4mi/8min). It would be appreciated if you could do one of the following before booking: Link your Airbnb profile to a social network such as(website hidden)or (website hidden); verify your phone number; or complete your Airbnb profile. Thanks!FAQ-Why there is no top sheet?We use european bedding, there is no top sheet to it but a duvet cover that is replaced for each guest. Like a giant pillow case.-How can I survive without daily towel supply?If you need clean towels every day you are more than welcome to use the laundry room or request our housekeeper to come replace towels and bed sheets for you, an extra cleaning fee will be added tough.-I can't cook if there is no salt, pepper and oil.Well, we've tried to supply these products but people kept bringing their own and instead of having too many leftovers we decided to go clean and let you choose whether you want to use left overs found in the apartment or bring your own.",38.91275913023059,114,1,Entire home/flat,-77.03823232470316
Futon,1,"This Victorian row house is in the NoMa neighborhood of Capitol Hill, just steps from sites, museums, public transit, and restaurants! One private bedroom is available with a shared full bathroom. Guests also have full access to the kitchen, dining area, living room, and back patio with outdoor fireplace. The house is located just 2.5 blocks from the NoMa metro subway station on the red line, 2 blocks from a Capitol Bikeshare dock, and only 5 blocks from Union Station, a DC central transportation hub. The trendy H Street corridor is also 2 blocks away, boasting a 24/7 Giant grocery store, numerous restaurants, and bars. Our home is an ideal location for site seeing or business trips, as most everything in the heart of DC is accessible via bike, subway metro, or walking -- all easy options from here! DCA airport is a 10-minute drive, or an easy subway metro trip. Coming from BWI airport, the MARC train or Amtrak drops you at Union Station, a short 8 minute walk from the house. The U.S. Capitol is exactly 1 mile (and a beautiful walk) away from the house, and the National Mall, housing rows of free museums, is a 1.2-mile walk away. If requested by guests, breakfast will be included in their stay. We love our neighborhood and are excited to share it- so come visit!",38.90216427367339,52,1,Private room,-77.00208566026188
