bathrooms,description,price per accommodates,price,bedrooms,longitude,price per bedroom,neighbourhood,bed_type,accommodates,url,latitude,room_type
,"Sun-flooded. Downtown Washington DC. Stunning view. Just a five minute walk from the White House and major monuments! Book now! --Description:This property is a cozy, simple, studio in a new apartment building building overlooking Massachusetts Avenue and Scott Circle. Just steps away from a CVS, and several convenience stores. Check out the pictures--sunlight floods the apartment all day, as the apartment faces Massachusetts Avenue. Spacious, bright feel during the day and a warm, private feel at night.Amenities:Full kitchen, high-speed WIFI, washer/dryer in-building, comfortable bed, couch, linens, towels, toilet paper, and paper towels included make this beautiful apartment perfect for your business or pleasure trip to Washington. Central air conditioning and heating make the apartment even more comfortable--WARM in the winter and COLD in the summer.Location:Downtown DC. FIve blocks from the White House. Need we say more? Parking:Among the best neighborhoods in DC for parking--no permits needed for overnight parking, metered parking all up Massachusetts Avenue, as well as cheap overnight garages within two blocks.Check-in and Check-out:Check-in and check-out times are very flexible, and I try to accommodate any reasonable timing requests. Usually, I like to check people in after work (around 5PM) but I can usually make it on a lunchbreak, too. Very flexible! Safety:This is among the safest streets and neighborhoods in DC, and with two locked doors, a doorman, and security guard in the building, safety isn't a concern.Communication:I will be on call for the entire length of your stay, you can shoot me a call/text/email at any point and I will respond right away with any questions you might have.--Please book as soon as possible, as spaces fill up quickly, and please email me with any questions!Safe travels and enjoy your trip to Washington!",45.0,90,1,-77.03401460347388,90.0,502,Real Bed,2,https://www.airbnb.co.uk/rooms/1116509,38.90607939760912,Entire home/flat
,"Large private room with private bathroom in 2 bedroom 2.5 bathroom house. Located in the Logan Circle neighborhood, it is a short walk to Metro (Green Line), Convention Center, and the restaurants, shopping and bars on 14th st including Whole Foods Market, Church Key, Black Whiskey, The Coffee Bar, Peregrine Coffee, and many more. In addition to being located with in walking distance of Dupont, Downtown and Logan Circle, this comfortable home features many amenities such as access to a full kitchen, washer and dryer, wifi, cable television and 12 foot ceilings on the main floor, with lots of natural light. There is a large living room with several couches and a large dining room with large dining table that provides ample works space. The kitchen features, dishes and cook ware, coffee and various convenience items to make you more comfortable. I'm a software developer working in the area, and keep normal hours durring the week. I have plenty of space in the house and am happy to share it with my guests. If you have any questions I'm here to help, just ask.",32.0,64,1,-77.02891139088256,64.0,502,Real Bed,2,https://www.airbnb.co.uk/rooms/1170249,38.90721396991747,Private room
,"Looking for an up-scale, sophisticated, luxury apartment for your stay in Washington? Look no further! Spotless and clean, bright and safe, location, location, location...A beautiful 20 minute walk to the White House from your doorstep!Description:This property is a spacious, elegant, bright, classy first-floor one bedroom apartment on a quiet, tree-lined street. Just steps away from the famous 18th street corridor of markets, small coffee shops and restaurants.Five large windows overlooking a tree-filled courtyard and ten-foot ceilings with designer recessed lighting, and designer furniture give this apartment an open, spacious, bright feel during the day and a warm, private feel at night.Amenities:Full kitchen and living room, high-speed WIFI, wall-mounted LCD TV, washer/dryer in-unit (with laundry detergent!), kind-sized brand new Comfortsoft bed, pullout couch, sleepable futon, ample bedding, linens, towels, toilet paper, and paper towels included make this 1,000 square-foot apartment perfect for you family or quiet DC getaway.Central heating and air conditioning make the apartment even more comfortable--WARM in the winter and COLD in the summer.Other amenities include a fully stocked kitchen and working fireplace!Location:Centrally located near all the major DC destinations, this house is truly in the middle of it all:-Three blocks north of Dupont Circle-Two blocks south of the U-Street corridor-Two blocks from ""Dupont Circle"" stop on the Red Line Metro-One block from Safeway supermarket, wine shop, a dozen restaurants and cafes, and retail clothing stores, art galleries, and several museumsFinally, just a 20-minute walk down Pennsylvania Avenue to the White House, Lincoln, Jefferson, Washington, and all other major monuments.Parking:Depends on your budget. Street parking is pretty easy to swing and most of my guests have no trouble moving their car around and finding places on the street to park. However, to park it for the whole time and not worry about it, I'd definitely recommend the garage on New Hampshire Avenue literally a block from the house. It's 15 bucks a day and it really beats moving the car from spot to spot, etc.Check-in and Check-out:Check-in and check-out times are very flexible, and I try toaccommodate any reasonable timing requests.Safety:This is among the safest streets and neighborhoods in DC, and is on the first floor of a secure, historic 12-unit yellow-brick building. Perfect for a family trip, spacious, warm, and comfortable.Communication:I will be on call for the entire length of your stay, you can shoot me a call/text/email at any point and I will respond right away with any questions you might have.--Please book as soon as possible, as spaces fill up quickly, and please email me with any questions!Safe travels and enjoy your trip to Washington!",41.0,123,1,-77.03951279601141,123.0,873,Real Bed,3,https://www.airbnb.co.uk/rooms/973717,38.91536628088618,Entire home/flat
,"Three blocks from Dupont Circle, windows throughout, stunning studio on a quiet, tree-lined street. Safe, warm, and well-done. 1,000 books, for your enjoyment. Two blocks from the Dupont Metro Station, and just a 20 minute walk from the White House and monuments. One-of-a-kind apartment!--Description:Clean, elegant apartment on a quiet, tree-lined street. One block to your left, the famous 18th street corridor of markets, small coffee shops and restaurants. One block to your right, the 17th street bars, supermarkets, and convenience stores. One block south is THE Dupont Circle. Amenities:Full kitchen and living room, high-speed WIFI, TV, Simmons Beauty Rest bed, designer couch, ample bedding, linens, towels, toilet paper, and paper towels included.You control the temperature—as cold or as warm as you’d like it. Fully stocked kitchen! Pots, pans, silverware, plates, cups, wine glasses, etc. Location:Centrally located near all the major DC destinations, this house is truly in the middle of it all:-Three blocks north of Dupont Circle -Two blocks south of the U-Street corridor -Two blocks from ""Dupont Circle"" stop on the Red Line Metro -On the same block as the Safeway supermarket, one block from a wine shop, a dozen restaurants and cafes, retail clothing stores, art galleries, and several museums.Finally, just a 20-minute walk down Pennsylvania Avenue to the White House, Lincoln, Jefferson, Washington, and all other major monuments.Parking:Two blocks from the metro, car not recommended. But street parking is pretty easy to swing and most of my guests have no trouble moving their car around and finding places on the street to park. However, to park it for the whole time and not worry about it, I'd definitely recommend the garage on New Hampshire Avenue literally a block from the house. It's 15 bucks a day and it really beats moving the car from spot to spot, etc.Check-in and Check-out:Check-in and check-out times are very flexible, and I try to accommodate any reasonable timing requests.Safety: This is among the safest streets and neighborhoods in DC, and with iron security gates and double locks at the front and rear entrances, this is a safe home for your family, as well. Perfect for a family trip, spacious, warm, and comfortable.Communication:I will be on call for the entire length of your stay, you can shoot me a call/text/email at any point and I will respond right away with any questions you might have.--Please book as soon as possible, as spaces fill up quickly, and please email me with any questions!Thank you for respecting my personal home. Safe travels and enjoy your trip to Washington!",25.666666666666668,77,1,-77.041168,77.0,873,Real Bed,3,https://www.airbnb.co.uk/rooms/763089,38.914631,Entire home/flat
,"Sun-flooded. Downtown Washington DC. Stunning view. A five-minute walk to the White House and major monuments. Book now!--Description:This property is a cozy, simple, studio in a new apartment building building overlooking Massachusetts Avenue and Scott Circle. Just steps away from a CVS, and several convenience stores. Rest easy, knowing the apartment is maintained with non-toxic, environmentally friendly cleaning products. Check out the pictures--sunlight floods the apartment all day, as the apartment faces Massachusetts Avenue. Spacious, bright feel during the day and a warm, private feel at night.Amenities:Full kitchen, high-speed WIFI, washer/dryer in-building, comfortable bed, couch, linens, towels, toilet paper, and paper towels included make this beautiful apartment perfect for your business or pleasure trip to Washington.Central air conditioning and heating make the apartment even more comfortable--WARM in the winter and COLD in the summer.Location:Downtown DC. Four blocks from the White House. Need we say more?Parking:Among the best neighborhoods in DC for parking--no permits needed for overnight parking, metered parking all up Massachusetts Avenue, as well as cheap overnight garages within two blocks.Check-in and Check-out:Check-in and check-out times are very flexible, and I try to accommodate any reasonable timing requests. Usually, I like to check people in after work (around 5PM) but I can usually make it on a lunchbreak, too. Very flexible!Safety:This is among the safest streets and neighborhoods in DC, and with two locked doors, a doorman, and security guard in the building, safety isn't a concern.Communication:I will be on call for the entire length of your stay, you can shoot me a call/text/email at any point and I will respond right away with any questions you might have.--Please book as soon as possible, as spaces fill up quickly, and please email me with any questions!Safe travels and enjoy your trip to Washington!",35.5,71,1,-77.0358135880139,71.0,502,Real Bed,2,https://www.airbnb.co.uk/rooms/1479432,38.90821812477281,Entire home/flat
,"A great single bedroom with a private bathroom and living room. The room also has a private entrance. Located a 10 minute walk or 4 blocks to the metro (Stadium Armory metro on the blue and orange line) and 1/2 block to D6 bus service which takes you downtown and to Dupont Circle. We are located in Capitol Hill East, a multi-cultural and residential neighborhood. It is a 2 mile walk or a short bus or metro ride to the Capitol Building and National Mall, where all the Smithsonian museums and monuments are located. We are also a 15 walk to an area of the city called H Street which has a variety of restaurants, bars and nightlife. Off-street parking is also available--the space will fit a compact or standard size car. If your car is bigger, we can work with you get a (free) temporary parking permit. We provide sheets and towels. Feel free to contact us with any questions!",21.0,42,1,-76.97931334934924,42.0,1087,Futon,2,https://www.airbnb.co.uk/rooms/878350,38.89531765165271,Private room
,"The Consulate’s location is perfect. The apartment is in the heart of a fabulous Van Ness neighborhood at the entrance of Rock Creek with convenient shopping and dining options, and just steps from the Metro. The apartment has cable, free wifi, kitchen ware for cooking, great sleeping accommodations, a blow up mattress if needed with added linens and towels, the complex has a tennis court, a fitness center, a business center with free internet and printing, an awesome pool, a sun deck with a BBQ pit and the apartment is literally a block from the Van Ness metro, on the redline, four short stops to the white house, close to all the sites of Washington, DC, this is apartment is a true gem.",16.2,81,1,-77.06011523779037,81.0,1028,Real Bed,5,https://www.airbnb.co.uk/rooms/1062349,38.9424741600691,Entire home/flat
,"Great 1bdrm apartment in heart of downtown DC. Just walking distance to the metro, white house, national mall, fine-dining, nightlife, theater and shopping. Beautiful hardwood floors give the apartment character. Parking is available.The apartment is fully furnished with basic kitchen appliances, queen bed with comfortable pillows, a full bathroom with shower/bath, closet with hangers and fresh linens and towels. Laundry room is available on the 10th floor.**Easy 24hr check in**To check in simply pick up your keys at the front desk where they will be waiting under your name.Please be ready to check out before 12pm. To check out simply leave your keys in the apartment mailbox on the first floor.**AMENITIES**- Location! - Walk to everything you will need during your stay.- Orange/Blue Line Metro and Red Line Metro access- Basic kitchen appliances- TV- Cable- DVD- Refridgerator- Microwave- Coffee maker- High speed internet and WIFI- Full bath with tub- Iron and ironing board- Blow dryer - AC- Wash/Dryer (in building)- Parking available in underground parking garage (please inquire at the front desk for the daily rate)We are right in the heart of the city with easy access to all metros: Red Line at Metro Center, Green/Yellow, Blue/Orange line at McPherson Sq. The neighborhood is very walkable and great for jogging down to the National Mall, Washington Monument, Smithsonian and Potomac River.Public transportation is extremely accessible within 2 blocks you find metro and bus routes to Georgetown, Dupont Circle, Capitol Hill, Arlington, Alexandria, etc. Orange/Blue line at McPherson Sq is the nearest metro. Metro Center - Red line is very close and green/yellow is also close by at Mt. Vernon Sq.",24.25,97,1,-77.02879311211603,97.0,896,Real Bed,4,https://www.airbnb.co.uk/rooms/1153480,38.903824541544736,Entire home/flat
,"The Heart of Dupont Circle!We are located on the Georgetown side of Dupont Circle. The apartment is the 4th and top floor of a row house, corner unit. It is two blocks off the metro (Red Line - Dupont Circle stop), walking distance to the White House, Georgetown, the National Mall, area grocery stores, farmers markets, restaurants, vibrant bars and nightlife. Street parking and pay parking garages are available if you plan to bring a car, although our location is perfect for public transportation, bike share and walking. It is extremely safe and one of the best locations you can find in DC!Apartment DetailsThe apartment is fully furnished, just bring your suit case! It is a charming 975 sq ft 2 bedroom/1 bath apartment with plenty of closet space, skylight, an in-unit washer, dryer and dishwasher. We know it can be nice to grab a quick breakfast and run, so please help yourself to our assortment of breakfast foods. Your Temporary RoommatesWe are in our late 20s, incredibly laid back, kind, respectful and easy to room with. We are both very active, work long hours and are not in the apartment much. When we are, we like to relax, cook healthy meals and meet friends out for drinks. We can show you some cool spots around DC, but are equally happy to give you as much privacy as you desire. Looking forward to meeting you!",25.5,51,1,-77.0463955749072,51.0,856,Real Bed,2,https://www.airbnb.co.uk/rooms/1243059,38.91185045184692,Private room
,"Special introductory rates and LOW CLEANING FEE!Hello all! Welcome to your new home in DC.Perfect location--right in the middle between Dupont Circle and Georgetown! Nightlife, shopping, restaurants, business, tourist sites, everything--just minutes from your home in DC!Spectacular bedroom and bathroom suite with queen bed and a pull-out sofa for second full bed if necessary (SLEEPS FOUR!) also includes a full en-suite bathroom and massive walk-in closet.Seriously--SO close to everything!- Coffee shops--1 block--3 minute walk- Restaurants--1 block--3 minute walk- Dupont Circle--3 blocks--6 minute walk- Metro (SUBWAY)--3 blocks--6 minute walk- White House--11 blocks--20 minute walk- Lincoln Memorial--12 blocks--24 minute walk- Georgetown--6 blocks--12 minute walk- Tourist sites on the Mall--12 blocks--24 minute walk- Drug store/pharmacy--3 blocks--6 minute walkCool blue is the theme in this room with 5 windows facing South and East filling your room with tons of NATURAL LIGHT. Your suite includes a brand new queen bed and a sitting area with a sofa and satellite flat screen TV and DVR. The house has central AC and heat and a ceiling fan provides ample air movement. Your bath is outfitted with top of the line wax dipped limestone, a spacious 4 foot vanity for all of your supplies, and a large window filling it with sunlight.EVERYTHING you need!- Luxurious bedding- Lots of natural light- HUGE walk-in closet- Satellite LCD TV- Plenty of electricity outlets- Clothes steamer- Iron and ironing board- iPhone charger- HairdryerWork or play, your home in DC is central and convenient to absolutely EVERYTHING! An unheard of perfect WalkScore of 100!! Wake with a one block walk to the longest running local coffee shop, one of several local Starbucks, or even a specialty tea house. Three blocks takes you to the Dupont Circle Metro station (red line) and only six blocks to the Foggy Bottom station (blue and orange lines) so in as little as 5 minutes you are on a train anywhere in the city. A brief 20 minute walk to the White House, the Lincoln Memorial, the Smithsonian and the rest of the National Mall to fill your tourist desires, or walk to the Kennedy Center to see a show or the opera or Georgetown for shopping. For work, you can quickly walk to IMF or World Bank, any business on K St, Georgetown and Dupont, even downtown is only two Metro stops away.Take a run or walk in the famed Rock Creek Park only one block away. Or visit your local gym outlet in town with nearly every brand mere steps from your doorstep.Bars and clubs abound for every person from straight to gay, male to female. Restaurants catering to every taste and the entire alphabet are only a short walk away--fish, seafood, steak, vegetarian--Vietnamese, Chinese, Korean, Moroccan, PanAsian, Tapas, Greek, Mediterranean, Thai, Belgium, French, Spanish, Italian, New American, Southern, Mexican, BBQ, Brazilian, Burgers, Cajun, Dim Sum, Irish, Ethiopian, Indian, Sushi, Japanese, Malaysian, Peruvian, and Wine Bars. Or, a half block walk takes you to a small local grocery or even just a few blocks to two WholeFood's.Your hosts have done everything possible make your stay enjoyable and practical. A hairdryer, a luggage stand, hangers for the closet, an iron and clothes steamer, even an iPhone charger! The house laundry area is accessible for a small additional fee to help you prepare for the next leg of your journey. Maps and local guidebooks are always provided to help you find your way. Long time resident owners and wireless internet will help you plan your day's activities.On-site parking can often be made available for $20 per day and family meals can often be available for an additional fee.Check-in is after 3pm and check-out is before 12noon, (we need time to clean your suite to make your stay amazing) but we can often be flexible to work around your schedule--just let us know.",16.0,64,1,-77.04723263466218,64.0,856,Real Bed,4,https://www.airbnb.co.uk/rooms/860336,38.909410914402386,Private room
