y,x,shift,latitude,offense,address,method,longitude,severity
133729,398943,MIDNIGHT,38.87138951708920,HOMICIDE,1500 - 1599 BLOCK OF 1ST STREET SW,KNIFE,-77.012173403907,5
144596,397769,MIDNIGHT,38.96927969531280,SEX ABUSE,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,KNIFE,-77.02573724707290,1
139402,396275,MIDNIGHT,38.92249183776510,SEX ABUSE,1800 - 1810 BLOCK OF COLUMBIA ROAD NW,OTHERS,-77.04294960616970,1
139335,396518,MIDNIGHT,38.92188711387790,SEX ABUSE,2322 - 2499 BLOCK OF ONTARIO ROAD NW,OTHERS,-77.04014899142060,1
136881,395232,MIDNIGHT,38.89977470694460,SEX ABUSE,2500 - 2699 BLOCK OF VIRGINIA AVENUE NW,OTHERS,-77.054954955579,1
138824.53084626,402158.3161279560,MIDNIGHT,38.91728676208080,SEX ABUSE,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,OTHERS,-76.97511248407980,1
133810,402837,MIDNIGHT,38.87211219076180,SEX ABUSE,2800 - 2821 BLOCK OF PENNSYLVANIA AVENUE SE,OTHERS,-76.96729819347140,1
127300,398794,MIDNIGHT,38.815914685390,SEX ABUSE,1 - 99 BLOCK OF DC VILLAGE LANE SW,OTHERS,-77.01394742913860,1
140004,400331,MIDNIGHT,38.92791659593610,HOMICIDE,3000 - 3099 BLOCK OF 7TH STREET NE,OTHERS,-76.99617783903860,5
135095,404939,MIDNIGHT,38.88368678376590,HOMICIDE,400 - 499 BLOCK OF BURBANK STREET SE,GUN,-76.94306454485460,5
139371,400594,MIDNIGHT,38.92221699889370,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,OTHERS,-76.99314018282120,1.2
143559,392607,DAY,38.95991229992680,THEFT/OTHER,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,OTHERS,-77.08528827644360,1.2
139298,397088,MIDNIGHT,38.92155606060270,SEX ABUSE,1400 - 1499 BLOCK OF CHAPIN STREET NW,OTHERS,-77.03357205818170,1
138712.81,397921.52,MIDNIGHT,38.91628053619590,SEX ABUSE,1900 - 1999 BLOCK OF 9TH STREET NW,OTHERS,-77.02396658837020,1
139458,396835,MIDNIGHT,38.92299138276980,SEX ABUSE,2480 - 2599 BLOCK OF 16TH STREET NW,OTHERS,-77.03648996129520,1
135331.4354830180,405689.0700192320,MIDNIGHT,38.885803960432,ROBBERY,4700 - 4899 BLOCK OF C STREET SE,GUN,-76.93442834726260,1.2
136784,400930,MIDNIGHT,38.89890922610260,BURGLARY,1200 - 1299 BLOCK OF G STREET NE,OTHERS,-76.98927226313090,1.5
135422,404182,MIDNIGHT,38.88663348460280,ROBBERY,200 - 299 BLOCK OF 37TH PLACE SE,GUN,-76.951793430880,1.2
129677,400504,MIDNIGHT,38.83488637413310,THEFT F/AUTO,3700 - 3841 BLOCK OF 9TH STREET SE,OTHERS,-76.99419479203210,1
139898,400331,MIDNIGHT,38.92696310468750,ASSAULT W/DANGEROUS WEAPON,2900 - 2999 BLOCK OF 7TH STREET NE,KNIFE,-76.99617567183740,3
136927,400930,MIDNIGHT,38.900201326818,THEFT/OTHER,1200 - 1299 BLOCK OF H STREET NE,OTHERS,-76.98927425272340,1.2
145959,398027,MIDNIGHT,38.98155942905440,ROBBERY,7400  - 7499 BLOCK OF EASTERN AVENUE NW,GUN,-77.02276458138660,1.2
137532,397095,MIDNIGHT,38.90564627995970,ASSAULT W/DANGEROUS WEAPON,1400 - 1499 BLOCK OF M STREET NW,KNIFE,-77.03349112958090,3
132444,401251,MIDNIGHT,38.85981059582170,ASSAULT W/DANGEROUS WEAPON,2300 - 2399 BLOCK OF PITTS PLACE SE,KNIFE,-76.98558336848510,3
131109,400346,MIDNIGHT,38.84778531704180,ASSAULT W/DANGEROUS WEAPON,2710 - 2731 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,GUN,-76.99601409532940,3
140692,398267,MIDNIGHT,38.93411505072610,THEFT/OTHER,400 - 499 BLOCK OF NEWTON PLACE NW,OTHERS,-77.01998307323270,1.2
138518.25999798,401335.81001519,MIDNIGHT,38.91467868701020,THEFT F/AUTO,FENWICK STREET NE AND OKIE STREET NE,OTHERS,-76.98468233549030,1
139046.15625447,396588.96876279,MIDNIGHT,38.91927926701110,ROBBERY,ONTARIO ROAD NW AND OLD MORGAN SCHOOL PLACE NW,OTHERS,-77.03933365762950,1.2
128916,399950,MIDNIGHT,38.82803021948320,ASSAULT W/DANGEROUS WEAPON,4200 - 4232 BLOCK OF 4TH STREET SE,GUN,-77.00056579621190,3
135308,403685,MIDNIGHT,38.88560974077730,BURGLARY,300 - 319 BLOCK OF 34TH STREET SE,OTHERS,-76.95751818566730,1.5
142516,398480,MIDNIGHT,38.95054746198090,ASSAULT W/DANGEROUS WEAPON,4900  - 4999 BLOCK OF 4TH STREET NW,OTHERS,-77.01753170243780,3
136008,407132,MIDNIGHT,38.89189268432370,BURGLARY,200 - 299 BLOCK OF 58TH STREET NE,OTHERS,-76.917783344719,1.5
137583,396547,MIDNIGHT,38.90610282292340,SEX ABUSE,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW,OTHERS,-77.03980944993770,1
141458.4243847040,402524.7114562960,DAY,38.94101271470440,THEFT F/AUTO,4200 - 4399 BLOCK OF EASTERN AVENUE NE,OTHERS,-76.97087789562680,1
138877,398055,DAY,38.91776127176660,THEFT F/AUTO,700 - 799 BLOCK OF V STREET NW,OTHERS,-77.02242261523480,1
143160,400604,DAY,38.95635230066040,ASSAULT W/DANGEROUS WEAPON,733 - 927 BLOCK OF JEFFERSON STREET NE,OTHERS,-76.99302891765420,3
137052.57999662,399823.37999779,DAY,38.90132705307590,THEFT/OTHER,3RD STREET NE AND I STREET NE,OTHERS,-77.00203614732350,1.2
137809,396385,DAY,38.90813850898160,THEFT F/AUTO,1300 - 1399 BLOCK OF 18TH STREET NW,OTHERS,-77.04167617602890,1
138217,405654,DAY,38.91157853529240,BURGLARY,1600 - 1699 BLOCK OF KENILWORTH AVENUE NE,OTHERS,-76.93440453604360,1.5
139643,396561,DAY,38.92465662122190,THEFT/OTHER,1700 - 1733 BLOCK OF COLUMBIA ROAD NW,OTHERS,-77.03965316779290,1.2
141769,401417,DAY,38.94382124054690,THEFT F/AUTO,4353 - 4499 BLOCK OF 16TH STREET NE,OTHERS,-76.98364420970580,1
134147,403570,DAY,38.87514650013060,BURGLARY,1200 - 1299 BLOCK OF 33RD PLACE SE,OTHERS,-76.95885629882970,1.5
138792,397330,DAY,38.91700041577670,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,OTHERS,-77.03078611372860,1.2
138140.84,397375.65,DAY,38.91112657796410,THEFT F/AUTO,1300 - 1329 BLOCK OF Q STREET NW,OTHERS,-77.03025873310490,1
133380,402068,DAY,38.86824209516980,BURGLARY,1900 - 2299 BLOCK OF S STREET SE,OTHERS,-76.97615896378630,1.5
138141.43750163,396386.21874660,DAY,38.91112844916260,THEFT F/AUTO,Q STREET NW AND 18TH STREET NW,OTHERS,-77.04166686879010,1
137069,397919,DAY,38.90147820098970,THEFT/OTHER,900 - 999 BLOCK OF 9TH STREET NW,OTHERS,-77.02398605533490,1.2
135264,403586,DAY,38.88521364272230,THEFT/OTHER,3300 - 3399 BLOCK OF DUBOIS PLACE SE,OTHERS,-76.95866057270160,1.2
138470,396748,DAY,38.91409326824840,THEFT F/AUTO,1600 - 1699 BLOCK OF S STREET NW,OTHERS,-77.03749420968770,1
141876,401190,DAY,38.94478186506230,MOTOR VEHICLE THEFT,4500 - 4533 BLOCK OF SOUTH DAKOTA AVENUE NE,OTHERS,-76.98626541517510,1
141867,398245,DAY,38.94470101205570,THEFT/OTHER,4400  - 4499 BLOCK OF ILLINOIS AVENUE NW,OTHERS,-77.02023912772560,1.2
137186.46,396307.07,DAY,38.90252535202820,THEFT F/AUTO,1800 - 1899 BLOCK OF K STREET NW,OTHERS,-77.04257431791390,1
138223.21999770,397229.11999538,DAY,38.91186823518230,THEFT F/AUTO,14TH STREET NW AND CORCORAN STREET NW,OTHERS,-77.03194855509250,1
142482,391395,EVENING,38.94980319205790,BURGLARY,4600 - 4617 BLOCK OF WESTERN AVENUE NW,OTHERS,-77.09977713598710,1.5
142322,401611,EVENING,38.94880161142440,THEFT/OTHER,4800 - 4899 BLOCK OF EASTERN AVENUE NE,OTHERS,-76.98140480585250,1.2
139759,395317,EVENING,38.92570385243960,MOTOR VEHICLE THEFT,2600 - 2699 BLOCK OF WOODLEY ROAD NW,OTHERS,-77.05400541349340,1
143053,393930,EVENING,38.95536218592840,THEFT/OTHER,5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW,OTHERS,-77.07002183484490,1.2
140102,399610,DAY,38.92879939035360,MOTOR VEHICLE THEFT,100 - 263 BLOCK OF MICHIGAN AVENUE NE,OTHERS,-77.00449312194380,1
132803,402595,EVENING,38.86304224228030,ARSON,2589 - 2671 BLOCK OF NAYLOR ROAD SE,OTHERS,-76.97009107345070,4
140182,397162,EVENING,38.92951721944640,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,OTHERS,-77.032729863452,1.2
135648.27999531,400436.91999836,EVENING,38.88867651320050,THEFT F/AUTO,8TH STREET SE AND A STREET SE,OTHERS,-76.99496390141880,1
137941.14,405566.44,EVENING,38.90931390342870,ROBBERY,4600 - 4615 BLOCK OF POLK STREET NE,GUN,-76.93582062130030,1.2
133801,398878,EVENING,38.87203624012480,BURGLARY,100 - 199 BLOCK OF P STREET SW,OTHERS,-77.01292264972040,1.5
143146.12,396973.96,EVENING,38.95621435905160,ROBBERY,1400  - 1599 BLOCK OF KENNEDY STREET NW,GUN,-77.03491228583050,1.2
142748,399996,EVENING,38.95263599304040,ROBBERY,300 - 399 BLOCK OF GALLOWAY STREET NE,OTHERS,-77.00003541768590,1.2
143076,398906,EVENING,38.95559101488690,THEFT/OTHER,100  - 199 BLOCK OF JEFFERSON STREET NW,OTHERS,-77.01261614126840,1.2
136855,400735,EVENING,38.89955441361670,THEFT/OTHER,700 - 799 BLOCK OF 11TH STREET NE,OTHERS,-76.99152583664070,1.2
144278,398275,EVENING,38.96642305988040,BURGLARY,6300  - 6311 BLOCK OF 5TH STREET NW,GUN,-77.01989705139470,1.5
